~~~Start of file~~~
Timestamp: 2020-04-17 15:40:01.455302

Timestamp: 2020-04-17 15:45:01.687794

Timestamp: 2020-04-17 15:50:01.388549

Timestamp: 2020-04-17 15:55:02.070825

Timestamp: 2020-04-17 16:00:01.747659

Timestamp: 2020-04-17 16:05:01.566457

Timestamp: 2020-04-17 16:10:01.215595

Timestamp: 2020-04-17 16:15:01.883692

Timestamp: 2020-04-17 16:20:01.207707

Timestamp: 2020-04-17 16:25:01.926177

Timestamp: 2020-04-17 16:30:01.491133

Timestamp: 2020-04-17 16:35:01.167771

Timestamp: 2020-04-17 16:40:01.963568

Timestamp: 2020-04-17 16:45:01.686718

Timestamp: 2020-04-17 16:50:01.394802

Timestamp: 2020-04-17 16:55:02.075787

Timestamp: 2020-04-17 17:00:01.776753

Timestamp: 2020-04-17 17:05:01.460788

Timestamp: 2020-04-17 17:10:01.812806

Timestamp: 2020-04-17 17:15:01.461666

Timestamp: 2020-04-17 17:20:01.153291

Timestamp: 2020-04-17 17:25:01.805547

Timestamp: 2020-04-17 17:30:01.491330

Timestamp: 2020-04-17 17:35:01.216546

Timestamp: 2020-04-17 17:40:01.909413

Timestamp: 2020-04-17 17:45:01.643279

Timestamp: 2020-04-17 17:50:01.361783

Timestamp: 2020-04-17 17:55:02.016966

Timestamp: 2020-04-17 18:00:01.669858

Timestamp: 2020-04-17 18:05:01.321248

Timestamp: 2020-04-17 18:10:01.973812

Timestamp: 2020-04-17 18:15:01.649134

Timestamp: 2020-04-17 18:20:01.269029

Timestamp: 2020-04-17 18:25:01.985713

Timestamp: 2020-04-17 18:30:01.642973

Timestamp: 2020-04-17 18:35:01.311755

Timestamp: 2020-04-17 18:40:01.978696

Timestamp: 2020-04-17 18:45:01.631854

Timestamp: 2020-04-17 18:50:01.349473

Timestamp: 2020-04-17 18:55:02.088451

Timestamp: 2020-04-17 19:00:01.799453

Timestamp: 2020-04-17 19:05:01.811934

Timestamp: 2020-04-17 19:10:01.464315

Timestamp: 2020-04-17 19:15:01.173494
An error occured: <class 'urllib.error.URLError'> <urlopen error [Errno -2] Name or service not known>, line: 27
Timestamp: 2020-04-17 19:20:01.507341

Timestamp: 2020-04-17 19:25:01.645935

Timestamp: 2020-04-17 19:30:01.416072

Timestamp: 2020-04-17 19:35:02.058475

Timestamp: 2020-04-17 19:40:01.370077

Timestamp: 2020-04-17 19:45:02.094448

Timestamp: 2020-04-17 19:50:01.862516

Timestamp: 2020-04-17 19:55:01.609776

Timestamp: 2020-04-17 20:00:01.462053

Timestamp: 2020-04-17 20:05:01.233176

Timestamp: 2020-04-17 20:10:01.980175

Timestamp: 2020-04-17 20:15:01.779714

Timestamp: 2020-04-17 20:20:01.538250

Timestamp: 2020-04-17 20:25:01.290529

Timestamp: 2020-04-17 20:30:01.171606

Timestamp: 2020-04-17 20:35:01.992433

Timestamp: 2020-04-17 20:40:01.747487

Timestamp: 2020-04-17 20:45:01.489226

Timestamp: 2020-04-17 20:50:01.265157

Timestamp: 2020-04-17 20:55:02.013438

Timestamp: 2020-04-17 21:00:01.770056

Timestamp: 2020-04-17 21:05:01.863312

Timestamp: 2020-04-17 21:10:01.639148

Timestamp: 2020-04-17 21:15:01.397309

Timestamp: 2020-04-17 21:20:01.198963

Timestamp: 2020-04-17 21:25:01.508766

Timestamp: 2020-04-17 21:30:01.310280

Timestamp: 2020-04-17 21:35:02.115532

Timestamp: 2020-04-17 21:40:02.056710

Timestamp: 2020-04-17 21:45:01.758732

Timestamp: 2020-04-17 21:50:01.534760

Timestamp: 2020-04-17 21:55:01.291743

Timestamp: 2020-04-17 22:00:02.082802

Timestamp: 2020-04-17 22:05:01.894580

Timestamp: 2020-04-17 22:10:01.877409

Timestamp: 2020-04-17 22:15:01.637838

Timestamp: 2020-04-17 22:20:01.537834

Timestamp: 2020-04-17 22:25:01.256050

Timestamp: 2020-04-17 22:30:02.112067

Timestamp: 2020-04-17 22:35:01.864536

Timestamp: 2020-04-17 22:40:01.897787

Timestamp: 2020-04-17 22:45:01.890797

Timestamp: 2020-04-17 22:50:01.656287

Timestamp: 2020-04-17 22:55:01.555482

Timestamp: 2020-04-17 23:00:01.437585

Timestamp: 2020-04-17 23:05:01.405337

Timestamp: 2020-04-17 23:10:01.182184

Timestamp: 2020-04-17 23:15:01.936001

Timestamp: 2020-04-17 23:20:01.837857

Timestamp: 2020-04-17 23:25:01.599231

Timestamp: 2020-04-17 23:30:01.191764

Timestamp: 2020-04-17 23:35:02.015351

Timestamp: 2020-04-17 23:40:01.855608

Timestamp: 2020-04-17 23:45:01.664889

Timestamp: 2020-04-17 23:50:01.391059

Timestamp: 2020-04-17 23:55:01.156528

Timestamp: 2020-04-18 00:00:02.061703

Timestamp: 2020-04-18 00:05:01.331636

Timestamp: 2020-04-18 00:10:02.415471

Timestamp: 2020-04-18 00:15:01.727733

Timestamp: 2020-04-18 00:20:01.880855

Timestamp: 2020-04-18 00:25:01.664135

Timestamp: 2020-04-18 00:30:01.422487

Timestamp: 2020-04-18 00:35:01.164538

Timestamp: 2020-04-18 00:40:01.656096

Timestamp: 2020-04-18 00:45:01.348507

Timestamp: 2020-04-18 00:50:01.165383

Timestamp: 2020-04-18 00:55:01.989242

Timestamp: 2020-04-18 01:00:01.804512

Timestamp: 2020-04-18 01:05:01.661873

Timestamp: 2020-04-18 01:10:01.546677

Timestamp: 2020-04-18 01:15:01.395772

Timestamp: 2020-04-18 01:20:01.141702

Timestamp: 2020-04-18 01:25:01.953631

Timestamp: 2020-04-18 01:30:01.718911

Timestamp: 2020-04-18 01:35:01.187751

Timestamp: 2020-04-18 01:40:02.046984

Timestamp: 2020-04-18 01:45:01.927172

Timestamp: 2020-04-18 01:50:01.837042

Timestamp: 2020-04-18 01:55:01.221821

Timestamp: 2020-04-18 02:00:01.956896

Timestamp: 2020-04-18 02:05:01.896079

Timestamp: 2020-04-18 02:10:01.671124

Timestamp: 2020-04-18 02:15:01.704467

Timestamp: 2020-04-18 02:20:01.586962

Timestamp: 2020-04-18 02:25:01.349473

Timestamp: 2020-04-18 02:30:01.179508

Timestamp: 2020-04-18 02:35:01.139186

Timestamp: 2020-04-18 02:40:01.932064

Timestamp: 2020-04-18 02:45:01.709023

Timestamp: 2020-04-18 02:50:01.541877

Timestamp: 2020-04-18 02:55:01.945704

Timestamp: 2020-04-18 03:00:01.804703

Timestamp: 2020-04-18 03:05:01.631464

Timestamp: 2020-04-18 03:10:01.415619

Timestamp: 2020-04-18 03:15:01.463692

Timestamp: 2020-04-18 03:20:01.403137

Timestamp: 2020-04-18 03:25:01.296226

Timestamp: 2020-04-18 03:30:01.170814

Timestamp: 2020-04-18 03:35:01.179064

Timestamp: 2020-04-18 03:40:01.950443

Timestamp: 2020-04-18 03:45:01.756006

Timestamp: 2020-04-18 03:50:01.465088

Timestamp: 2020-04-18 03:55:02.010621

Timestamp: 2020-04-18 04:00:01.841481

Timestamp: 2020-04-18 04:05:01.591647

Timestamp: 2020-04-18 04:10:01.294100

Timestamp: 2020-04-18 04:15:01.354122

Timestamp: 2020-04-18 04:20:01.328744

Timestamp: 2020-04-18 04:25:02.099881

Timestamp: 2020-04-18 04:30:01.840124

Timestamp: 2020-04-18 04:35:01.593480

Timestamp: 2020-04-18 04:40:01.376078

Timestamp: 2020-04-18 04:45:01.143696

Timestamp: 2020-04-18 04:50:01.943522

Timestamp: 2020-04-18 04:55:01.767294

Timestamp: 2020-04-18 05:00:01.665699

Timestamp: 2020-04-18 05:05:01.431769

Timestamp: 2020-04-18 05:10:01.259568

Timestamp: 2020-04-18 05:15:01.242822

Timestamp: 2020-04-18 05:20:02.015969

Timestamp: 2020-04-18 05:25:01.761172

Timestamp: 2020-04-18 05:30:01.496228

Timestamp: 2020-04-18 05:35:01.236845

Timestamp: 2020-04-18 05:40:01.981968

Timestamp: 2020-04-18 05:45:01.796128

Timestamp: 2020-04-18 05:50:01.831532

Timestamp: 2020-04-18 05:55:01.630915

Timestamp: 2020-04-18 06:00:01.398715

Timestamp: 2020-04-18 06:05:01.239363

Timestamp: 2020-04-18 06:10:01.599229

Timestamp: 2020-04-18 06:15:01.457107

Timestamp: 2020-04-18 06:20:01.274266

Timestamp: 2020-04-18 06:25:02.027118

Timestamp: 2020-04-18 06:30:02.024055

Timestamp: 2020-04-18 06:35:01.784128

Timestamp: 2020-04-18 06:40:01.584140

Timestamp: 2020-04-18 06:45:01.294676

Timestamp: 2020-04-18 06:50:02.057590

Timestamp: 2020-04-18 06:55:01.880600

Timestamp: 2020-04-18 07:00:01.630850

Timestamp: 2020-04-18 07:05:01.687312

Timestamp: 2020-04-18 07:10:01.681195

Timestamp: 2020-04-18 07:15:01.455857

Timestamp: 2020-04-18 07:20:01.365196

Timestamp: 2020-04-18 07:25:02.051406

Timestamp: 2020-04-18 07:30:01.801059

Timestamp: 2020-04-18 07:35:01.590505

Timestamp: 2020-04-18 07:40:01.283655

Timestamp: 2020-04-18 07:45:02.004348

Timestamp: 2020-04-18 07:50:01.785977

Timestamp: 2020-04-18 07:55:01.620745

Timestamp: 2020-04-18 08:00:01.359952

Timestamp: 2020-04-18 08:05:01.579384

Timestamp: 2020-04-18 08:10:01.419820

Timestamp: 2020-04-18 08:15:01.171046

